"Date","Transaction","Name","Memo","Amount"
"2025-12-24","DEBIT","MARATHON 45328         ROCKVILLE     MD","24231685357591766430041; 05542; ; ; ;","-36.48"
"2025-12-15","DEBIT","ROYAL FARMS #307       FREDERICK     MD","24941665348247920906849; 05542; ; ; ;","-38.29"
"2025-12-08","DEBIT","FRONTIER JEJH4Z        720-3744390   CO","24717055342583420295370; 03132; ; TRUONG/M; 2026-01-18 OHARE TO BALTIMORE ;","-28.98"
"2025-12-08","CREDIT","REAL-TIME REWARDS CREDIT","; 00263; ; ; ;","28.98"
"2025-11-28","DEBIT","SHEETZ 2249            FREDERICK     MD","24116415331562820380988; 05542; ; ; ;","-33.03"
"2025-11-28","CREDIT","INTERNET PAYMENT THANK YOU","INTERNET; 00300; ; ; ;","70.97"
