Trans. Date,Post Date,Description,Amount,Category
12/22/2025,12/23/2025,"AMAZON MKTPLACE PMTS AMZN.COM/BILLWA4GO0GCVXKF2",-210.15,"Payments and Credits"
12/01/2025,12/01/2025,"AMAZON MKTPL*BB07348U1 AMZN.COM/BILLWA7COPRZOD6QD",53.47,"Merchandise"
11/30/2025,11/30/2025,"AMAZON MKTPL*BB06M7DZ2 AMZN.COM/BILLWA2YS0WI58C2K",267.91,"Merchandise"
11/30/2025,11/30/2025,"AMAZON MKTPL*BB0MR5DX2 AMZN.COM/BILLWA46CA3PEB9S7",233.19,"Merchandise"
11/29/2025,11/29/2025,"AMAZON MKTPL*B250B4UF0 AMZN.COM/BILLWA3EBTNVYL4GZ",53.19,"Merchandise"
